Date,Sales
2022-01-01,195
2022-01-02,211
2022-01-03,186
2022-01-04,207
2022-01-05,220
2022-01-06,190
2022-01-07,198
2022-01-08,204
2022-01-09,213
2022-01-10,200
2022-01-11,208
2022-01-12,197
2022-01-13,216
2022-01-14,216
2022-01-15,205
2022-01-16,222
2022-01-17,196
2022-01-18,204
2022-01-19,208
2022-01-20,219
2022-01-21,245
2022-01-22,222
2022-01-23,195
2022-01-24,185
2022-01-25,214
2022-01-26,234
2022-01-27,210
2022-01-28,202
2022-01-29,232
2022-01-30,229
2022-01-31,232
2022-02-01,214
2022-02-02,238
2022-02-03,213
2022-02-04,212
2022-02-05,229
2022-02-06,239
2022-02-07,200
2022-02-08,229
2022-02-09,230
2022-02-10,219
2022-02-11,209
2022-02-12,238
2022-02-13,212
2022-02-14,203
2022-02-15,206
2022-02-16,240
2022-02-17,218
2022-02-18,226
2022-02-19,232
2022-02-20,203
2022-02-21,198
2022-02-22,206
2022-02-23,189
2022-02-24,236
2022-02-25,207
2022-02-26,199
2022-02-27,242
2022-02-28,203
2022-03-01,193
2022-03-02,205
2022-03-03,169
2022-03-04,222
2022-03-05,181
2022-03-06,204
2022-03-07,184
2022-03-08,189
2022-03-09,199
2022-03-10,170
2022-03-11,184
2022-03-12,198
2022-03-13,190
2022-03-14,195
2022-03-15,196
2022-03-16,215
2022-03-17,180
2022-03-18,211
2022-03-19,174
2022-03-20,199
2022-03-21,185
2022-03-22,161
2022-03-23,204
2022-03-24,175
2022-03-25,202
2022-03-26,187
2022-03-27,165
2022-03-28,185
2022-03-29,159
2022-03-30,182
2022-03-31,186
2022-04-01,189
2022-04-02,173
2022-04-03,186
2022-04-04,187
2022-04-05,158
2022-04-06,170
2022-04-07,202
2022-04-08,194
2022-04-09,184
2022-04-10,168
2022-04-11,173
2022-04-12,189
2022-04-13,206
2022-04-14,181
2022-04-15,175
2022-04-16,202
2022-04-17,170
2022-04-18,214
2022-04-19,190
2022-04-20,170
2022-04-21,208
2022-04-22,198
2022-04-23,185
2022-04-24,205
2022-04-25,192
2022-04-26,206
2022-04-27,202
2022-04-28,215
2022-04-29,191
2022-04-30,200
2022-05-01,197
2022-05-02,190
2022-05-03,157
2022-05-04,217
2022-05-05,184
2022-05-06,216
2022-05-07,210
2022-05-08,175
2022-05-09,209
2022-05-10,209
2022-05-11,222
2022-05-12,206
2022-05-13,226
2022-05-14,207
2022-05-15,196
2022-05-16,215
2022-05-17,221
2022-05-18,216
2022-05-19,212
2022-05-20,210
2022-05-21,182
2022-05-22,234
2022-05-23,216
2022-05-24,218
2022-05-25,203
2022-05-26,215
2022-05-27,225
2022-05-28,214
2022-05-29,220
2022-05-30,227
2022-05-31,194
2022-06-01,249
2022-06-02,215
2022-06-03,218
2022-06-04,249
2022-06-05,206
2022-06-06,199
2022-06-07,197
2022-06-08,193
2022-06-09,235
2022-06-10,232
2022-06-11,198
2022-06-12,222
2022-06-13,227
2022-06-14,207
2022-06-15,227
2022-06-16,210
2022-06-17,207
2022-06-18,230
2022-06-19,224
2022-06-20,191
2022-06-21,211
2022-06-22,202
2022-06-23,204
2022-06-24,230
2022-06-25,199
2022-06-26,238
2022-06-27,210
2022-06-28,195
2022-06-29,210
2022-06-30,215
2022-07-01,178
2022-07-02,171
2022-07-03,197
2022-07-04,192
2022-07-05,180
2022-07-06,201
2022-07-07,171
2022-07-08,168
2022-07-09,202
2022-07-10,187
2022-07-11,186
2022-07-12,202
2022-07-13,186
2022-07-14,169
2022-07-15,158
2022-07-16,167
2022-07-17,197
2022-07-18,223
2022-07-19,176
2022-07-20,158
2022-07-21,189
2022-07-22,181
2022-07-23,185
2022-07-24,148
2022-07-25,180
2022-07-26,171
2022-07-27,179
2022-07-28,184
2022-07-29,188
2022-07-30,172
2022-07-31,188
2022-08-01,203
2022-08-02,212
2022-08-03,185
2022-08-04,207
2022-08-05,146
2022-08-06,176
2022-08-07,185
2022-08-08,197
2022-08-09,177
2022-08-10,199
2022-08-11,180
2022-08-12,216
2022-08-13,171
2022-08-14,189
2022-08-15,165
2022-08-16,186
2022-08-17,187
2022-08-18,189
2022-08-19,207
2022-08-20,170
2022-08-21,200
2022-08-22,199
2022-08-23,173
2022-08-24,186
2022-08-25,189
2022-08-26,216
2022-08-27,195
2022-08-28,192
2022-08-29,197
2022-08-30,196
2022-08-31,199
2022-09-01,205
2022-09-02,176
2022-09-03,183
2022-09-04,185
2022-09-05,189
2022-09-06,226
2022-09-07,213
2022-09-08,193
2022-09-09,192
2022-09-10,194
2022-09-11,191
2022-09-12,198
2022-09-13,212
2022-09-14,217
2022-09-15,185
2022-09-16,228
2022-09-17,200
2022-09-18,210
2022-09-19,221
2022-09-20,215
2022-09-21,178
2022-09-22,227
2022-09-23,218
2022-09-24,198
2022-09-25,220
2022-09-26,209
2022-09-27,206
2022-09-28,201
2022-09-29,224
2022-09-30,233
2022-10-01,197
2022-10-02,223
2022-10-03,217
2022-10-04,211
2022-10-05,226
2022-10-06,223
2022-10-07,198
2022-10-08,208
2022-10-09,204
2022-10-10,203
2022-10-11,194
2022-10-12,213
2022-10-13,196
2022-10-14,231
2022-10-15,200
2022-10-16,241
2022-10-17,217
2022-10-18,225
2022-10-19,205
2022-10-20,211
2022-10-21,191
2022-10-22,201
2022-10-23,192
2022-10-24,209
2022-10-25,200
2022-10-26,198
2022-10-27,194
2022-10-28,215
2022-10-29,202
2022-10-30,196
2022-10-31,182
2022-11-01,228
2022-11-02,172
2022-11-03,201
2022-11-04,179
2022-11-05,182
2022-11-06,179
2022-11-07,201
2022-11-08,187
2022-11-09,188
2022-11-10,188
2022-11-11,188
2022-11-12,200
2022-11-13,176
2022-11-14,182
2022-11-15,209
2022-11-16,191
2022-11-17,167
2022-11-18,189
2022-11-19,205
2022-11-20,166
2022-11-21,172
2022-11-22,193
2022-11-23,175
2022-11-24,161
2022-11-25,162
2022-11-26,194
2022-11-27,168
2022-11-28,189
2022-11-29,188
2022-11-30,169
2022-12-01,183
2022-12-02,178
2022-12-03,163
2022-12-04,180
2022-12-05,207
2022-12-06,189
2022-12-07,190
2022-12-08,184
2022-12-09,179
2022-12-10,209
2022-12-11,181
2022-12-12,164
2022-12-13,202
2022-12-14,188
2022-12-15,155
2022-12-16,200
2022-12-17,179
2022-12-18,188
2022-12-19,182
2022-12-20,199
2022-12-21,178
2022-12-22,173
2022-12-23,191
2022-12-24,215
2022-12-25,196
2022-12-26,177
2022-12-27,195
2022-12-28,169
2022-12-29,184
2022-12-30,185
2022-12-31,202
2023-01-01,213
2023-01-02,203
2023-01-03,199
2023-01-04,187
2023-01-05,200
2023-01-06,212
2023-01-07,216
2023-01-08,196
2023-01-09,222
2023-01-10,215
2023-01-11,188
2023-01-12,220
2023-01-13,227
2023-01-14,220
2023-01-15,205
2023-01-16,201
2023-01-17,200
2023-01-18,213
2023-01-19,231
2023-01-20,207
2023-01-21,221
2023-01-22,223
2023-01-23,220
2023-01-24,231
2023-01-25,237
2023-01-26,240
2023-01-27,217
2023-01-28,210
2023-01-29,225
2023-01-30,202
2023-01-31,205
2023-02-01,200
2023-02-02,210
2023-02-03,226
2023-02-04,207
2023-02-05,201
2023-02-06,238
2023-02-07,223
2023-02-08,203
2023-02-09,215
2023-02-10,218
2023-02-11,201
2023-02-12,192
2023-02-13,205
2023-02-14,206
2023-02-15,223
2023-02-16,216
2023-02-17,220
2023-02-18,222
2023-02-19,215
2023-02-20,210
2023-02-21,202
2023-02-22,187
2023-02-23,217
2023-02-24,214
2023-02-25,194
2023-02-26,217
2023-02-27,193
2023-02-28,196
2023-03-01,225
2023-03-02,232
2023-03-03,184
2023-03-04,217
2023-03-05,211
2023-03-06,204
2023-03-07,184
2023-03-08,224
2023-03-09,178
2023-03-10,216
2023-03-11,199
2023-03-12,220
2023-03-13,207
2023-03-14,181
2023-03-15,176
2023-03-16,162
2023-03-17,179
2023-03-18,158
2023-03-19,187
2023-03-20,176
2023-03-21,204
2023-03-22,171
2023-03-23,200
2023-03-24,201
2023-03-25,210
2023-03-26,193
2023-03-27,180
2023-03-28,193
2023-03-29,177
2023-03-30,168
2023-03-31,174
2023-04-01,171
2023-04-02,145
2023-04-03,175
2023-04-04,193
2023-04-05,177
2023-04-06,211
2023-04-07,186
2023-04-08,210
2023-04-09,185
2023-04-10,170
2023-04-11,170
2023-04-12,195
2023-04-13,179
2023-04-14,192
2023-04-15,199
2023-04-16,173
2023-04-17,190
2023-04-18,164
2023-04-19,178
2023-04-20,206
2023-04-21,195
2023-04-22,167
2023-04-23,186
2023-04-24,202
2023-04-25,169
2023-04-26,202
2023-04-27,212
2023-04-28,195
2023-04-29,212
2023-04-30,205
2023-05-01,189
